Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
28942,120797.02,1290,29148,122756.78,1240
59122,227689.01,2360,60219,242641.26,2374
63496,234288.14,2358,63518,244470.38,2494
65544,224963.41,2304,65674,222511.56,2344
66353,230968.65,2331,66239,215936.3,2252
68582,234971.58,2397,68466,226686.08,2338
64341,215910,2283,64185,226629.21,2350
59937,221968.3,2239,60098,217156.42,2220
54063,191075.16,2015,54592,197768.37,2025
60839,210185.89,2233,60676,216170.14,2255
71051,216056.07,2268,71289,228318.56,2410
69029,232395.25,2429,69514,220530.47,2322
69260,212327.73,2242,69277,213819.43,2278
68095,217247.95,2287,68352,205926.11,2211
63911,205702.56,2170,63290,198841.35,2204
63519,194750.62,2062,63514,191720.74,2067
101706,195991.77,2062,101316,187797.61,2022
113622,167387.86,1932,113130,179905.98,1921
110613,165079.89,1933,110419,168461.35,1927
110749,143656.4,1643,110873,148009.81,1692
124641,134820.5,1577,125037,140578.85,1569
150778,117918.49,1377,151062,114544.57,1414
196997,63795.32,730,198668,65859.36,743
804865,17952042.32,155473,804612,17837736.34,154680
443884,3489829.37,36411,444042,3430531.04,35944
317601,1736294.93,19240,317079,1771260.4,19411
301790,1313242.85,14980,302369,1360452.33,15419
359686,1442403.99,18541,360016,1459520.8,18672
272899,1115288.66,13236,274315,1128996.39,13462
277900,1635644.41,19432,277333,1675939.91,19511
248273,1572555.73,18674,248813,1589529.67,18917
234241,1020862.19,12228,233272,1003997.03,12196
228295,797992.35,10470,227976,818094.87,10725
236557,1080527.92,14255,236544,1086999.26,14488
249515,1453463.26,19385,250138,1463296.27,19731
328978,2192970.24,31221,329566,2167990.84,30987
236506,1282348.61,18888,237499,1291225.72,18947
204598,951459.36,14354,204876,954741.84,14390
