Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
25167,109006.94,1150,25389,112185.08,1118
52797,210347.78,2160,53746,222026.69,2170
56715,214640.7,2163,56774,224936.2,2281
59194,204059.85,2094,59287,204125.29,2134
60302,216559.23,2152,60210,198230.77,2075
62813,219046.47,2215,62788,214011.38,2205
58825,201271.21,2131,58903,209824.11,2188
54584,204300.08,2039,54874,198667.4,2051
49429,176658.79,1858,49838,181751.7,1850
55878,193906.76,2073,55786,201690.95,2110
65685,203973.33,2148,65845,213270.35,2239
64044,218036.65,2279,64630,206450.64,2171
64160,195356.65,2094,64177,200979.42,2126
63049,203656.4,2123,63265,193567.34,2066
59196,187556.83,2010,58576,186877.48,2071
58491,181589.4,1910,58450,179252.78,1935
93872,182521.29,1914,93568,175324.55,1864
105103,155327.74,1784,104931,167447.06,1792
102326,153688.61,1810,102061,158458.15,1797
102436,135841.09,1535,102618,139815.52,1597
115208,126867.34,1476,115758,130534.15,1456
138528,109685.4,1286,138995,105410.09,1302
180647,60475.86,681,182309,62390.27,699
725851,16140329.73,139344,726643,16018463.17,138593
403054,3189546.26,33186,402783,3133915.68,32757
288920,1594352.49,17583,288542,1631078.71,17818
273708,1202828.24,13694,273858,1246980.07,14106
324328,1329772.26,17189,324760,1352584.78,17348
246507,1025919.99,12114,248012,1028526.62,12245
253716,1502908.86,17837,253429,1540713.77,17953
228739,1461473.52,17331,229268,1475373.9,17581
217512,959125.23,11452,216647,940604.45,11440
212605,743904.97,9765,211891,767062.88,10052
219958,1005872.5,13324,220109,1015315.31,13551
227625,1316869.97,17662,228516,1338427.7,18082
300268,2000791.81,28625,301054,1977624.31,28416
214827,1169835.07,17296,215573,1182256.3,17424
185682,859422.53,13017,185423,863395.43,13037
211611,955367.91,14824,211909,974358.79,14834
152686,411262.21,6166,152501,410328.1,6182
108412,127341.51,1772,107786,125281.08,1741
95698,136190.2,1920,95420,131046.42,1804
89116,153023.93,2111,89476,153640.15,2159
78981,150622.19,2039,78798,132451.38,1854
75950,144524.32,2067,76084,151765.86,2056
108934,411500.63,4964,109528,408003.65,5073
89987,214857.21,2894,90645,219736.71,2919
91919,199436.05,2850,91725,197736.84,2781
85234,211576.49,2926,84487,211112.01,2885
76250,206195.41,2842,76482,214457.13,2940
70994,173179.02,2444,71325,175442.17,2403
79034,207913.23,3367,79812,205522.01,3227
77816,243003.42,4127,78393,244502.97,3892
85436,269851.89,4669,85846,266909.87,4409
74395,211138.18,3094,74829,215986.62,3123
80774,223344.88,3023,80701,234789.83,3100
66489,211806.42,2729,65964,214701.62,2757
58757,141771.33,1892,58510,145186.76,1916
65229,133301.52,1778,65686,134746.34,1839
65291,141504.42,1960,65251,141214.66,1976
61603,135286.57,1905,61772,135858.91,1841
105528,522285.08,6532,106039,526759.32,6516
109068,531711.08,7042,110180,552876.51,7230
137103,588395.84,7878,138281,628814.88,8174
117365,390676.02,5290,117692,399225.25,5402
116583,328209.25,4436,116497,331859.56,4408
100062,318143.18,4301,100637,329594.51,4228
101991,310364.41,4207,102360,307187.91,4237
76173,261796.74,3400,76354,262278.65,3520
92998,228545.33,3105,93687,233322.95,3160
97976,323539.73,4251,97374,325108.61,4324
93587,286524.64,3764,94153,284728.68,3812
90791,261672.29,3486,90956,263438.81,3444
102260,334396.17,4554,102666,344924.26,4666
117289,436922.84,5882,116589,437267.33,5962
119821,428857.49,5682,120233,429299.97,5702
113977,449938.85,5100,114018,458115.97,5337
93309,302068.94,3853,93616,314376.87,3949
84137,222481.96,2841,83960,214771.37,2820
81273,211527.24,2732,81291,199056.98,2679
