Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
25339,109584.89,1130,25226,111556.01,1137
53065,205249.62,2102,53493,227124.86,2228
56405,211004.96,2193,57090,228571.95,2251
59165,199389.36,2092,59320,208795.78,2136
61985,203367.29,2154,62177,211933.62,2081
66057,212603.96,2191,66023,221051.78,2239
62397,207365.77,2178,61605,203604.76,2144
57531,207453.94,2056,57683,195780.12,2037
52086,181889.11,1876,52278,176638.61,1835
58540,196551.96,2069,58509,199045.75,2114
69182,208838.44,2231,68534,208536,2159
67510,215035.18,2260,67210,209934.67,2196
67623,208584.85,2230,66821,187683.69,1992
66089,193516.13,2075,65799,204188.84,2126
61765,187311.87,2050,61250,187303.8,2035
61051,177958.31,1925,61044,183041.67,1924
98900,175542.35,1884,98446,182709.88,1898
110053,171080.18,1859,109553,151845.58,1721
106916,157118.84,1848,105837,155093.84,1761
106873,142732.52,1611,106173,133071.79,1524
120656,124917.28,1448,120050,132720.61,1488
144106,108132.23,1301,143116,106976.95,1287
186981,64003.18,745,187242,58927.69,637
736213,16042431.5,138592,734750,16085108.76,139094
408716,3158618.76,32976,407083,3157517.78,32895
293268,1638565.99,17800,292105,1583696.89,17567
277042,1229734.23,13918,277615,1217964.71,13855
328865,1325444.14,17154,328346,1353715.81,17342
251160,1029083.67,12281,249994,1023123.64,12056
257225,1542456.26,17961,256395,1498510.58,17788
232742,1468313.87,17441,231908,1464828.45,17424
220645,946710.58,11428,219968,951738.07,11456
215601,753431.76,9967,215012,756890.12,9838
223548,997216.13,13394,222539,1022509.85,13469
231175,1329368.54,17851,231631,1322520.39,17843
305103,1969499.19,28367,305847,2002100.91,28593
218506,1164935.73,17311,218762,1183619.17,17351
188273,862762.76,13086,188500,857714.33,12932
215224,966810.6,14931,214455,960514.75,14693
155136,408140.8,6169,154977,412594.03,6161
109706,123896.09,1725,110463,127623.5,1781
97632,130604.23,1818,97947,135956.22,1900
91860,152871.63,2145,91798,153684.39,2126
82192,139172.93,1959,81764,144143.3,1945
79980,151097.71,2122,79500,144782.61,2006
114311,398700.03,5029,113069,419674.14,5005
92592,220503.66,2884,91985,208363.15,2873
86656,188142.29,2647,86328,182939.18,2613
74730,193044.3,2660,74041,186649.22,2584
66785,186496.21,2627,66408,187053.27,2556
62511,164974.2,2273,62912,156386.95,2143
70889,199100.28,3022,70352,182745.31,2931
69320,224659.93,3582,69118,221738.18,3561
75428,240807.98,3866,75437,247990.38,4058
66020,196898.47,2801,66085,197242.27,2857
71461,206754.65,2752,70982,209263.55,2807
58384,196509.14,2535,58590,194555.52,2472
52174,131242.09,1757,52330,134754.35,1780
58593,123564.85,1659,58684,128267.27,1736
58021,127750.33,1793,57921,128338.88,1783
54890,120188.53,1684,54572,123649.25,1676
91938,454365.14,5615,92917,442371.36,5600
99076,501435.08,6586,99525,486600.79,6418
126559,558480.65,7378,126326,562879.21,7440
107775,358911.85,4962,107405,376489.44,4974
106324,303091.14,4114,105562,312173.17,4142
91034,290056.21,3916,91588,298175.98,3998
92757,275740.67,3790,92498,287128.78,3980
69131,243925.85,3246,69413,231136.98,3148
84640,215846.89,2917,84817,214945.4,2925
89030,290480.29,3893,89428,302277.98,3989
85575,269960.16,3579,86009,260048.47,3429
82956,241278.35,3252,83458,249600.15,3245
92557,311684.54,4209,92840,303713.84,4164
105961,397843.94,5370,106427,391630.54,5390
109117,394748.63,5262,109563,381984.26,5101
102593,402385.44,4732,103159,394648.31,4588
84583,280295.88,3548,84744,284584.54,3613
76573,199373.27,2578,77529,209599.79,2727
74851,194963.85,2575,75194,196295.87,2544
