Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
25167,109006.94,22902,25389,112185.08,23226
3775,11790.08,3496,3759,10571.7,3496
52797,210347.78,45842,53746,222026.69,46740
6325,17341.23,5719,6473,20614.57,5882
56715,214640.7,47797,56774,224936.2,47954
6781,19647.44,6052,6744,19534.18,6065
59194,204059.85,46747,59287,204125.29,46915
6350,20903.56,5508,6387,18386.27,5571
60302,216559.23,47347,60210,198230.77,47767
6051,14409.42,5318,6029,17705.53,5301
62813,219046.47,50138,62788,214011.38,50465
5769,15925.11,5067,5678,12674.7,5034
58825,201271.21,46232,58903,209824.11,46924
5516,14638.79,4798,5282,16805.1,4632
54584,204300.08,42441,54874,198667.4,43090
5353,17668.22,4652,5224,18489.02,4596
49429,176658.79,39042,49838,181751.7,39928
4634,14416.37,4085,4754,16016.67,4176
55878,193906.76,45163,55786,201690.95,45551
4961,16279.13,4379,4890,14479.19,4332
65685,203973.33,51570,65845,213270.35,52069
5366,12082.74,4696,5444,15048.21,4747
64044,218036.65,49915,64630,206450.64,50703
4985,14358.6,4313,4884,14079.83,4206
64160,195356.65,50154,64177,200979.42,50505
5100,16971.08,4357,5100,12840.01,4380
63049,203656.4,49222,63265,193567.34,49948
5046,13591.55,4351,5087,12358.77,4392
59196,187556.83,45973,58576,186877.48,45824
4715,18145.73,3998,4714,11963.87,4016
58491,181589.4,46388,58450,179252.78,46620
5028,13161.22,4324,5064,12467.96,4388
93872,182521.29,73848,93568,175324.55,74130
7834,13470.48,6594,7748,12473.06,6572
105103,155327.74,82898,104931,167447.06,83438
8519,12060.12,7371,8199,12458.92,7112
102326,153688.61,80815,102061,158458.15,81026
8287,11391.28,7199,8358,10003.2,7264
102436,135841.09,80156,102618,139815.52,80721
8313,7815.31,7087,8255,8194.29,7110
115208,126867.34,86505,115758,130534.15,90796
9433,7953.16,7603,9279,10044.7,7609
138528,109685.4,109089,138995,105410.09,114742
12250,8233.09,10363,12067,9134.48,10390
180647,60475.86,147424,182309,62390.27,155132
16350,3319.46,14007,16359,3469.09,14046
725851,16140329.73,650281,726643,16018463.17,660628
79014,1811712.59,71634,77969,1819273.17,70793
403054,3189546.26,348160,402783,3133915.68,347918
40830,300283.11,34773,41259,296615.36,35161
288920,1594352.49,233316,288542,1631078.71,233479
28681,141942.44,23917,28537,140181.69,23696
273708,1202828.24,220277,273858,1246980.07,225489
28082,110414.61,23709,28511,113472.26,23984
324328,1329772.26,263340,324760,1352584.78,271668
35358,112631.73,30640,35256,106936.02,30463
246507,1025919.99,195568,248012,1028526.62,202112
26392,89368.67,21767,26303,100469.77,21681
253716,1502908.86,204101,253429,1540713.77,212112
24184,132735.55,20294,23904,135226.14,20100
228739,1461473.52,182660,229268,1475373.9,191638
19534,111082.21,16450,19545,114155.77,16413
217512,959125.23,166863,216647,940604.45,174701
16729,61736.96,13298,16625,63392.58,13231
212605,743904.97,154773,211891,767062.88,164149
15690,54087.38,12439,16085,51031.99,12696
219958,1005872.5,175021,220109,1015315.31,181327
16599,74655.42,13502,16435,71683.95,13374
227625,1316869.97,191711,228516,1338427.7,197798
21890,136593.29,18339,21622,124868.57,18114
300268,2000791.81,257667,301054,1977624.31,264211
28710,192178.43,24125,28512,190366.53,23915
214827,1169835.07,178873,215573,1182256.3,185037
21679,112513.54,17787,21926,108969.42,17842
185682,859422.53,154117,185423,863395.43,158367
18916,92036.83,15646,19453,91346.41,15997
