Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom,,,,,,,
272,1214.29,54,279,872.33,72,,,,,,,
333,1839.6,106,316,1423.84,87,,,,,,,
409,2197.64,125,387,1659.38,102,,,,,,,
293,443.36122,82,262,1957.54,75,,,,,,,
296,1644.467708,86,291,1357.59,90,,,,,,,
466,2474.559998,119,503,3364.41,140,,,,,,,
367,2425.990002,126,387,3683.850001,128,,,,,,,
427,3875.3,148,500,6267.939998,187,,,,,,,
402,3249.130001,143,370,2684.39,166,,,,,,,
467,4372.580001,155,403,3708.07289,157,,,,,,,
435,3320.66,138,415,3480.600001,150,,,,,,,
439,1681.35,112,458,2222.65,138,,,,,,,
361,946.24,102,405,1172.36,127,,,,,,,
399,1568.21,137,409,1440.03,132,,,,,,,
350,1634.32,112,336,872.36,102,,,,,,,
412,1828.59,118,435,1990.92,150,,,,,,,
533,2201.35,169,507,2790.650001,174,,,,,,,
466,2532.26,143,470,2514.47,152,,,,,,,
547,2734.16,164,487,1540.18,159,,,,,,,
467,2621.17,159,420,1702.34,139,,,,,,,
433,2420.419998,109,426,3157.34,138,,,,,,,
