Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
1118,3633.601915,236,1038,5698.720164,250
1482,4405.545405,350,1343,5422.043071,301
1194,4793.825487,292,1183,3105.219599,265
1063,4603.952685,245,1072,4025.448403,276
671,1243.48894,225,744,2375.903572,229
613,1292.207414,256,541,645.2782296,198
519,1004.160475,209,553,537.3215936,203
568,1597.963628,241,550,640.51323,234
555,211.0767307,218,517,888.9724118,209
708,1790.471507,294,715,1137.837292,310
755,786.7317716,281,782,1079.169419,267
760,975.9274901,283,762,1013.817962,278
630,1237.288797,254,537,289.8836329,194
537,1040.716031,267,581,921.6394604,229
450,584.0728458,167,443,895.8328169,178
448,763.138317,194,448,1407.615331,207
528,822.4577046,205,468,326.3925556,183
450,754.2939716,160,550,1007.093591,203
