Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
9268,47814.697,505,9133,55462.19934,533
8413,40861.13936,472,8308,45330.7405,483
10738,60411.92501,609,10790,64724.58992,641
13138,54093.58852,703,12847,54805.8135,688
14500,55556.1795,702,14081,57701.64408,751
14387,52503.88058,676,14594,52981.11036,647
9127,51755.47945,364,8849,48038.24935,369
12156,51789.92483,508,11722,50264.91974,520
8617,53055.13877,314,8691,53043.82345,355
11551,59848.47741,444,11091,60342.87336,460
16185,59973.81849,650,15864,55857.09082,617
23351,58479.68808,981,23519,52913.61478,963
16949,50150.88345,673,17144,50035.7686,756
10334,47448.63964,453,10438,49313.70098,512
10098,42760.67115,432,10247,41598.35062,495
10768,53286.88549,509,11079,52244.74778,508
16253,59635.88275,798,16723,62972.55636,889
16199,48634.42574,946,16666,48201.58777,1054
17275,56735.50712,1182,17302,55078.59382,1223
15683,41658.50053,1100,15901,49570.67633,1179
15805,38071.57733,1059,15443,38394.55288,1137
20256,36164.73053,1265,19733,33294.01727,1273
22513,21115.65,1268,23729,24164.48341,1314
111628,1086954.421,18008,126293,1229433.523,21049
57588,487406.0081,7594,58254,517089.8453,7473
38384,306227.9234,5213,39596,309093.5345,5140
37044,242727.2555,4044,33033,226527.7024,3853
39462,243996.7913,4130,40488,247219.9866,4216
33917,231266.4989,3877,32979,228490.4684,3730
34379,234152.3131,4362,33189,237736.9457,4512
44200,308595.7183,5842,42124,293354.7798,5758
33767,216076.4512,4219,34388,209875.9168,4310
30968,215420.7252,3813,31132,216337.9178,3999
32889,241469.4173,4110,35160,253678.4795,4648
38001,333748.6787,5587,37571,332733.1304,5567
54165,566603.7774,8481,55903,582601.3585,9062
38540,319080.0559,5457,38348,326279.6854,5775
38376,311535.8164,5074,38605,318209.729,5176
36378,320877.0184,4419,34708,298924.1502,4155
15351,62536.39337,988,15571,64547.12569,973
13879,54541.61064,876,14553,56372.19627,929
13310,47643.29791,838,13743,52566.4971,911
12199,48477.05215,725,12555,52338.56635,769
12544,51865.63327,681,12428,53634.8386,716
15479,69595.867,880,14745,66742.0021,881
15606,73369.8205,950,15924,71933.04446,999
14679,71884.86042,815,14712,69450.37418,710
14451,71124.43986,742,13639,71821.87683,704
