Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
10271,501,31019.76081,1191,10397,515,32649.3006,386
11576,501,29996.54855,1454,11160,502,31618.21438,439
11223,575,34305.14186,1437,11058,526,30418.93702,470
10124,501,30023.55164,1440,10357,498,32033.72669,464
9980,487,30327.11006,1368,9835,504,30288.67458,551
10110,533,33566.52251,1397,9935,541,33731.23949,573
9618,528,33010.6726,1562,9881,520,33274.40135,591
9689,457,29060.66651,1510,9609,479,30495.47476,590
11621,551,34708.54423,1733,12554,594,36956.15357,659
11422,504,30736.06773,1690,11392,534,33776.93064,638
11166,527,33982.25665,1583,11044,510,32056.7682,714
10511,510,31486.9764,1669,10729,484,32278.79451,667
11270,586,38246.33738,1705,11351,550,36845.67741,737
10135,559,38307.2823,1674,10458,588,44024.83557,676
9066,573,39556.1073,1729,9265,638,43747.10999,671
10543,696,47903.2019,2013,10626,650,45133.60417,734
9458,572,37101.92593,1816,9598,536,35270.33346,689
9002,517,33372.10654,1728,8814,551,37336.07925,698
8951,525,35509.77664,1750,8464,479,32132.61103,679
9003,572,39084.9254,1662,8364,528,34767.24216,585
7982,500,33897.02484,1600,8213,531,34636.66853,558
8057,495,33867.83651,1544,8354,526,35222.64176,527
9589,599,41992.58332,1673,9705,627,44698.73326,567
8549,525,36029.97413,1507,8540,570,38837.481,495
