Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
25339,109584.89,22793,25226,111556.01,23346
3876,10910.06,3571,3684,11505.94,3445
53065,205249.62,44768,53493,227124.86,47820
6487,19824.92,5854,6313,18130.88,5748
56405,211004.96,46074,57090,228571.95,49679
6770,18410.68,6050,6758,20770.94,6068
59165,199389.36,44700,59320,208795.78,48967
6476,20944.56,5571,6261,18345.27,5508
61985,203367.29,45809,62177,211933.62,50167
6053,16283.4,5281,6028,15831.55,5339
66057,212603.96,48867,66023,221051.78,53394
5736,12944.3,5032,5712,15655.51,5069
62397,207365.77,45105,61605,203604.76,49533
5411,15450.09,4688,5387,15993.81,4742
57531,207453.94,40977,57683,195780.12,45808
5246,14278.96,4570,5332,21878.29,4678
52086,181889.11,38025,52278,176638.61,41939
4675,13378.53,4089,4713,17054.51,4172
58540,196551.96,44158,58509,199045.75,47643
4905,14035.56,4333,4947,16722.77,4379
69182,208838.44,50199,68534,208536,54637
5398,14006.79,4696,5413,13124.16,4747
67510,215035.18,48373,67210,209934.67,53368
5065,14930.94,4356,4805,13507.49,4164
67623,208584.85,48805,66821,187683.69,53082
5149,15436.52,4410,5053,14374.57,4329
66089,193516.13,47732,65799,204188.84,52451
5133,11345.18,4424,5002,14605.13,4321
61765,187311.87,44085,61250,187303.8,48612
4733,14495.73,4034,4699,15613.87,3984
61051,177958.31,44711,61044,183041.67,49171
5200,12799.45,4489,4894,12829.73,4225
98900,175542.35,71708,98446,182709.88,77971
8012,12763.5,6763,7573,13180.04,6405
110053,171080.18,80395,109553,151845.58,87453
8556,12157,7339,8163,12362.04,7145
106916,157118.84,78210,105837,155093.84,84983
8333,10107.07,7197,8312,11287.41,7266
106873,142732.52,77731,106173,133071.79,84387
8357,8298.76,7154,8212,7710.84,7044
120656,124917.28,84756,120050,132720.61,94344
9440,10089.99,7629,9273,7907.88,7584
144106,108132.23,108563,143116,106976.95,116998
12219,9291.04,10419,12100,8076.53,10336
186981,64003.18,146805,187242,58927.69,157836
16524,3654.11,14195,16185,3134.44,13858
736213,16042431.5,648940,734750,16085108.76,663286
78867,1812901.22,71522,78120,1818084.54,70909
408716,3158618.76,349087,407083,3157517.78,347083
41545,299658.95,35362,40549,297302.37,34577
293268,1638565.99,234233,292105,1583696.89,232794
28893,138452.5,23983,28324,143633.71,23629
277042,1229734.23,217083,277615,1217964.71,229200
28875,114896.39,24174,27719,108990.49,23520
328865,1325444.14,258311,328346,1353715.81,277429
35840,111723.41,30935,34772,107844.34,30168
251160,1029083.67,192978,249994,1023123.64,205273
26479,93777.59,21804,26216,96060.85,21644
257225,1542456.26,200535,256395,1498510.58,216209
24347,136446.45,20535,23743,131515.24,19860
232742,1468313.87,180604,231908,1464828.45,194237
19425,112093.59,16353,19655,113144.39,16510
220645,946710.58,163074,219968,951738.07,179161
16764,61266.21,13365,16591,63863.32,13165
215601,753431.76,150240,215012,756890.12,169181
15919,55323.29,12562,15859,49796.08,12575
223548,997216.13,171553,222539,1022509.85,185384
16463,72796.41,13380,16571,73542.96,13497
231175,1329368.54,190458,231631,1322520.39,199549
21911,130386.67,18389,21599,131122.58,18064
305103,1969499.19,254598,305847,2002100.91,268013
28655,192170.78,23942,28568,190374.18,24098
218506,1164935.73,176154,218762,1183619.17,188225
21850,111999.56,17816,21753,109483.4,17812
188273,862762.76,151121,188500,857714.33,161632
19501,92588.38,16012,18871,90794.86,15633
