Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
29215,120494.95,1259,28910,123061.95,1271
59552,225074.54,2318,59806,245255.74,2416
63175,229415.64,2383,63848,249342.89,2469
65641,220333.92,2315,65581,227141.05,2333
68038,219650.69,2338,68205,227765.17,2253
71793,225548.26,2335,71735,236707.29,2410
67808,222815.86,2339,66992,219598.57,2297
62777,221732.9,2211,63015,217658.41,2251
56761,195267.64,2031,56991,193693.12,2012
63445,210587.52,2214,63456,215768.52,2274
74580,222845.23,2377,73947,221660.16,2304
72575,229966.12,2409,72015,223442.16,2348
72772,224021.37,2383,71874,202058.26,2139
71222,204861.31,2225,70801,218793.97,2285
66498,201807.6,2180,65949,202917.67,2198
66251,190757.76,2080,65938,195871.4,2053
106912,188305.85,2037,106019,195889.92,2051
118609,183237.18,1989,117716,164207.62,1868
115249,167225.91,1974,114149,166381.25,1888
115230,151031.28,1716,114385,140782.63,1622
130096,135007.27,1559,129323,140628.49,1591
156325,117423.27,1410,155216,115053.48,1381
203505,67657.29,798,203427,62062.13,677
815080,17855332.72,154659,812870,17903193.3,155243
450261,3458277.71,36223,447632,3454820.15,36061
322161,1777018.49,19408,320429,1727330.6,19208
305917,1344630.62,15248,305334,1326955.2,15124
364705,1437167.55,18503,363118,1461560.15,18669
277639,1122861.26,13470,276210,1119184.49,13206
281572,1678902.71,19587,280138,1630025.82,19315
252167,1580407.46,18788,251563,1577972.84,18756
237409,1007976.79,12181,236559,1015601.39,12235
231520,808755.05,10661,230871,806686.2,10522
240011,1070012.54,14313,239110,1096052.81,14418
253086,1459755.21,19527,253230,1453642.97,19539
333758,2161669.97,30927,334415,2192475.09,31200
240356,1276935.29,18863,240515,1293102.57,18914
207774,955351.14,14450,207371,948509.19,14258
