Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
491.00,4130.76,425.00,483.00,3405.99,424.00
596.00,3852.86,518.00,622.00,4429.34,560.00
549.00,2673.16,488.00,608.00,3853.34,544.00
557.00,3733.09,486.00,613.00,4672.39,546.00
708.00,4879.82,603.00,774.00,6379.92,693.00
601.00,3870.19,527.00,620.00,3792.96,558.00
579.00,4152.86,507.00,607.00,4292.84,547.00
565.00,5355.17,492.00,652.00,4035.41,577.00
518.00,2607.75,453.00,544.00,2776.03,464.00
559.00,4362.21,476.00,587.00,3650.31,512.00
599.00,4590.50,513.00,618.00,5419.88,545.00
665.00,3493.89,582.00,833.00,5638.77,748.00
678.00,4171.54,589.00,697.00,3940.42,609.00
549.00,4008.73,536.00,578.00,2252.30,558.00
503.00,2334.57,502.00,502.00,3141.98,502.00
518.00,3193.87,518.00,492.00,3081.11,492.00
463.00,2589.23,462.00,458.00,2428.88,458.00
535.00,3675.01,535.00,557.00,3543.22,557.00
875.00,4812.86,830.00,1101.00,3857.15,1058.00
801.00,3060.43,708.00,888.00,1958.12,791.00
828.00,4667.80,727.00,986.00,4187.30,888.00
154.00,481.59,134.00,181.00,633.32,165.00
