Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
2262,18211.69431,377,2272,18949.3,571
2353,19654.96385,405,2317,19297.02051,642
2891,25772.29806,570,2947,20237.87748,839
1711,13508.9,270,1620,8989.7,363
880,8400.749998,127,896,7893.39,191
1211,9388.740002,195,1185,11738.93015,250
1662,17910.79,278,1712,18114.3,432
2525,29736.17066,476,2624,36969.62835,705
1719,20037.60889,324,1720,20075.04,518
1633,21425.92,314,1545,17927.34,440
1207,14918.43742,224,1154,14964.96999,324
