Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
4409,71947.28,1828,4394,77791.75,1864
10405,158062.79,4409,10255,170188.75,4598
12312,209746.46,5599,12199,212981.81,5730
11452,212484,5372,11222,212414.85,5450
9955,171727.46,4514,9931,184524.47,4754
11436,206042.98,5765,11501,211704.38,5886
12153,239481.76,6388,12091,250532.98,6517
13488,273040.49,7213,13400,267739.21,7200
11525,216424.95,5733,11227,215314.32,5720
12124,232211.7,5867,11890,229528.61,6038
10697,214100.05,5307,10447,218662.92,5328
8422,150464.49,3993,8496,143531.32,4066
8694,131874.02,3765,8504,140388.07,3819
9327,144273.25,4199,9048,141877.28,4227
10337,137100.01,4080,9964,139856.22,4083
28318,520657.12,11567,28072,525838.11,11703
29649,543959.22,12924,28845,543745.24,12943
34682,611574.19,14553,33889,608179.98,14811
25599,396712.93,10354,24956,401062.31,10526
22080,338163.08,8912,21622,338688.8,9105
20134,332960.93,8462,19749,317038.69,8509
20255,317466.96,8411,20203,308067.7,8516
15490,270181.45,6610,14893,258115.01,6654
15702,235958.1,6470,15570,237806.65,6594
20046,318232.6,8384,20061,343235.55,8754
19235,284805.39,7713,19045,298650.27,7846
18488,274488.14,7244,17621,260083.88,7048
22361,342738.97,10600,22173,344574.38,10874
28138,452689.1,14429,27327,443300.06,14307
25207,437549.4,11847,24534,461098.85,11731
23162,472773.39,10262,22379,470083.05,10287
19087,312167.71,7901,18709,326639.4,8308
15087,225719.87,5960,15083,226230.99,6150
14999,209449.17,5780,14525,211700.43,5926
15234,218878.69,6146,15018,221483.08,6510
