Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
9340,9838.240179,743,9938,10251.87053,760
8506,7787.540513,654,9043,9468.986304,649
7577,9207.765193,568,7567,7574.358629,580
9186,8979.883405,661,8912,8988.669592,672
9136,8087.207324,651,9642,8305.136635,687
9050,8040.928179,691,9851,8092.396147,702
10684,10165.13179,758,11416,9669.004534,814
13731,11172.71639,1071,13993,12564.48066,1060
12835,10034.07898,980,14136,9238.968396,1059
9457,7950.687015,753,9891,7388.216676,749
9560,7267.024828,696,9665,6959.100761,733
9012,6137.17613,668,9308,7343.564578,690
8324,9506.312832,605,8809,9348.229817,659
8519,8132.761304,670,8669,9323.698485,612
7963,6943.871868,594,8280,8124.304483,610
6905,6174.619089,539,7802,5553.762426,554
6743,6903.612383,496,6496,4952.880788,507
7220,6393.619485,527,7610,6730.038759,552
