Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
9340,9838.240179,166,9938,10251.87053,170
8506,7787.540513,140,9043,9468.986304,161
7577,9207.765193,151,7567,7574.358629,122
9186,8979.883405,159,8912,8988.669592,155
9136,8087.207324,143,9642,8305.136635,155
9050,8040.928179,154,9851,8092.396147,158
10684,10165.13179,192,11416,9669.004534,188
13731,11172.71639,199,13993,12564.48066,213
12835,10034.07898,185,14136,9238.968396,164
9457,7950.687015,145,9891,7388.216676,135
9560,7267.024828,134,9665,6959.100761,128
9012,6137.17613,124,9308,7343.564578,137
8324,9506.312832,159,8809,9348.229817,177
8519,8132.761304,147,8669,9323.698485,171
7963,6943.871868,125,8280,8124.304483,145
6905,6174.619089,106,7802,5553.762426,104
6743,6903.612383,107,6496,4952.880788,85
7220,6393.619485,109,7610,6730.038759,103
