Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
1745,1590.621975,22,2318,1653.890166,27
1544,1299.371345,22,1891,1505.053946,22
1264,1381.344436,23,1188,1321.126911,13
1700,1488.096866,26,1607,1697.012935,27
1839,2003.92857,29,2233,2096.620021,38
1678,2147.130174,31,2352,1268.567301,21
2262,1590.997106,38,3021,1784.470623,32
2138,2298.212076,36,2558,1974.747373,31
1803,1801.868551,34,2695,2365.782626,35
1385,1453.505633,27,1407,931.402979,17
1669,1237.709676,21,1634,1102.750266,15
1806,1318.645872,24,1985,1713.298051,23
1748,2283.355013,29,2174,1985.389125,35
1675,1242.157361,23,2056,1765.408613,31
1524,1074.15977,18,1926,1601.877802,20
1276,1010.929552,17,2595,1066.705358,18
1128,842.016899,11,1248,1231.353106,16
1352,920.613052,20,1569,1604.413469,20
