Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
7547,8166.415728,142,7430,8510.959212,142
6883,6470.693332,117,7069,7764.208518,138
6261,7717.281225,126,6347,6043.100742,107
7337,7291.517102,130,7316,7237.826148,127
7312,6060.829157,113,7441,6136.179024,115
7197,5868.855961,122,7355,6795.394917,136
8338,8574.134689,154,8281,7884.533911,156
11508,8750.656615,160,11425,10589.73328,182
10781,8209.092593,150,11239,6822.475683,128
7978,6477.181855,117,8325,6435.774195,117
7787,6010.827386,112,7923,5826.370334,112
7184,4767.57968,99,7178,5630.266527,114
6509,7222.95782,130,6506,7325.901884,141
6769,6778.166898,122,6467,7558.289872,140
6362,5814.24188,105,6258,6522.426683,125
5521,5163.689537,89,5283,4487.057068,86
5472,5991.378841,95,5200,3721.527682,69
5829,5473.006433,89,5958,5125.625289,83
