Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
687,2440.417693,248,598,1506.337282,196
1648,6098.830925,568,1556,4990.608968,501
1745,4806.245954,583,1782,4330.32929,564
1697,4451.266892,590,1607,5097.967182,488
1685,6368.180588,586,1651,5593.060305,442
1629,5171.574289,512,1622,5085.18726,460
1505,5204.925776,469,1483,4202.291271,406
1416,4720.354097,443,1398,4196.792483,387
1218,3079.810754,387,1210,2976.503465,305
1239,3062.361602,401,1264,2633.093726,351
1269,2965.437359,399,1247,1851.191074,326
1227,2597.287716,388,1167,1443.473084,294
3335,4926.229129,1010,3315,7543.875538,915
4917,9180.532011,1507,4861,8734.548087,1241
8160,18654.20118,2586,8277,19492.01554,2315
6060,14154.3851,1933,6245,13670.12058,1730
4862,8679.757421,1502,4610,8837.170366,1247
4214,7364.787143,1316,4137,7738.187737,1131
3570,7262.058819,1130,3624,7252.052007,997
3306,7548.60506,1040,3230,6430.123258,883
3142,4588.759966,974,3036,5442.269419,888
3528,8403.049321,1031,3782,6514.211303,1000
3839,8468.004927,1121,3828,7857.590617,1074
3610,8013.899497,1094,3663,7566.625354,958
3328,6237.883082,995,3356,5723.431931,904
3606,7368.033534,1137,3546,8552.906222,1049
2278,6175.998135,883,2227,5960.380579,790
