Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
19,0,0,79,0,0
27,196.096611,3,133,374.700683,6
33,0,0,126,632.799711,7
42,1414.21643,1,142,740.926433,6
43,103.5414,2,176,873.19914,12
43,170.890664,3,175,1161.981494,15
53,0,0,193,402.759132,5
52,130.711927,3,163,469.923322,7
34,88.45647,1,156,923.09432,8
48,45.687176,1,166,661.964542,9
31,30.723783,1,164,713.831913,7
51,0,0,146,105.00516,3
26,0,0,169,664.399974,12
45,0,0,114,357.485051,5
29,198.430068,2,118,321.89932,4
28,97.662197,2,114,256.91519,4
34,0,0,116,438.712482,7
37,146.668343,1,98,166.254024,3
31,0,0,106,220.33352,2
34,30.484977,1,109,187.094073,2
32,98.85328,1,101,288.235353,5
40,80.649177,1,112,360.099686,6
29,43.891723,1,146,255.798249,4
34,0,0,153,397.528833,5
20,0,0,112,314.873253,3
35,130.442854,3,115,235.55701,3
26,24.446554,1,124,174.53358,3
36,77.645037,1,88,273.535761,2
30,0,0,75,217.209735,4
30,178.33864,1,124,75.793922,1
27,44.224241,1,130,701.77622,8
23,0,0,108,302.266725,3
25,162.393138,2,127,142.23891,2
37,0,0,142,351.88316,6
21,0,0,128,289.555287,6
22,0,0,93,125.263942,2
21,0,0,93,512.613985,5
17,0,0,97,128.914378,2
17,46.90211,1,111,784.13766,2
