Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
561,84,8981.54,302,576,84,8849.84,303
1048,130,12417.33,512,1122,115,13462.88,549
1213,124,12568.76,590,1194,140,15164.38,581
1636,201,20646.07,816,1709,204,20576.73,805
1352,136,14234.01,634,1418,156,14129.28,709
1269,175,17374.95,657,1394,165,17223.88,693
245,28,2957.72,123,223,24,2412.3,110
859,134,15599.34,489,877,149,15419.64,503
1182,153,17692.72,656,1207,154,17367.73,623
1146,155,16600.06,612,1068,133,14573.84,565
1448,195,22514.15,793,1357,202,21420.11,761
1125,156,14793.06,627,1114,165,18751.16,603
1065,153,14346.12,572,1082,136,13223.79,604
1108,164,15844.75,667,1193,192,19709.09,704
940,133,14164.63,561,1061,160,15415.91,660
856,133,13128.96,511,878,151,13897.36,534
916,150,15918.25,535,896,136,13947.88,519
1262,192,20240.86,729,1177,163,17383.02,675
