Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
38668,60994.96738,13452,38028,58754.4666,13699
95142,132162.7014,30204,96348,133803.3992,30592
93188,114134.5079,28775,92033,113619.0246,28339
94455,102194.3276,27199,95423,103788.6036,27764
106492,91691.66603,29694,109894,87588.99549,30938
142266,69639.12594,41907,144186,63751.79957,43374
475580,3433010.084,224772,476903,3356747.482,224476
327890,1712633.527,137852,327772,1714859.603,144194
217997,962130.0324,86602,216398,961672.7144,87850
199408,768798.0019,70495,192103,749172.4817,69822
213268,769554.6505,81410,216852,785900.7534,83616
192131,730634.7203,68460,187230,719512.0197,70049
172795,733572.8391,68752,179843,729880.8299,71045
199538,884976.4353,80164,203128,893477.5051,82692
165013,643293.7185,63425,164761,630184.9052,61272
152801,628524.3032,58938,155539,637561.2586,61248
171240,762179.4085,71189,168098,757058.2937,72531
194119,1002412.538,82229,194153,983090.0733,82957
250092,1570011.022,111512,246480,1555060.546,109935
190195,909111.9454,76537,181802,885115.2093,76304
175283,887367.7509,72157,177515,877990.4092,71258
164944,820675.8931,63297,159901,792898.6331,63838
89764,196379.8109,29733,89476,196271.531,30057
71912,142986.2794,24208,71720,151479.9103,24832
68791,141963.5019,23450,67482,142097.9971,23732
62612,138855.9651,22449,61075,136328.7171,22376
69909,150921.6353,24664,68054,151494.3778,25362
75879,189695.2966,29755,76910,186055.6145,30073
85425,237008.2731,33013,84333,235113.138,31514
83624,202205.7467,32092,84392,196426.038,31782
74934,189932.0073,27420,73502,187727.5011,26922
61721,171154.2905,22742,60865,167103.347,22736
