Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
38668,60994.96738,12931,38028,58754.4666,12986
95142,132162.7014,30296,96348,133803.3992,30187
93188,114134.5079,28568,92033,113619.0246,27987
94455,102194.3276,27852,95423,103788.6036,27670
106492,91691.66603,34267,109894,87588.99549,34297
142266,69639.12594,59387,144186,63751.79957,58662
475580,3433010.084,475580,476903,3356747.482,476903
327890,1712633.527,284435,327772,1714859.603,284295
217997,962130.0324,159252,216398,961672.7144,159333
199408,768798.0019,128474,192103,749172.4817,125854
213268,769554.6505,154406,216852,785900.7534,156886
192131,730634.7203,117157,187230,719512.0197,115146
172795,733572.8391,124891,179843,729880.8299,124422
199538,884976.4353,139301,203128,893477.5051,139618
165013,643293.7185,101966,164761,630184.9052,99829
152801,628524.3032,104224,155539,637561.2586,104660
171240,762179.4085,133772,168098,757058.2937,133615
194119,1002412.538,185250,194153,983090.0733,182015
250092,1570011.022,247962,246480,1555060.546,245122
190195,909111.9454,151503,181802,885115.2093,148056
175283,887367.7509,142185,177515,877990.4092,140057
164944,820675.8931,122512,159901,792898.6331,118860
89764,196379.8109,26973,89476,196271.531,27124
71912,142986.2794,21000,71720,151479.9103,21361
68791,141963.5019,22263,67482,142097.9971,21926
62612,138855.9651,21372,61075,136328.7171,21284
69909,150921.6353,22409,68054,151494.3778,22441
75879,189695.2966,27762,76910,186055.6145,27471
85425,237008.2731,32833,84333,235113.138,32684
83624,202205.7467,27329,84392,196426.038,27578
74934,189932.0073,25531,73502,187727.5011,25685
61721,171154.2905,21947,60865,167103.347,21484
