Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
295137,743967.6185,9741,293246,737963.516,9759
3261,7658.384538,93,3383,6392.386459,86
7824,18390.26201,235,7919,19839.27044,260
7905,20491.96063,263,7906,20553.45708,275
8168,23439.6333,291,8430,19751.01539,262
9350,24248.07094,334,9226,26008.63861,338
9511,26252.68948,357,9469,30169.43794,364
8890,24022.4158,332,9071,23984.54554,334
8398,22366.67237,299,8695,23991.35684,330
7987,26540.38092,348,7556,27850.63286,368
7272,23953.13418,313,7250,20231.93202,296
7610,25385.14941,341,7816,24837.19247,334
8175,24291.94747,341,7962,27004.30119,374
8088,29340.73121,414,7961,27068.87367,383
7501,26102.24721,356,7648,24533.76479,345
7311,24349.42494,308,7557,21332.21548,276
7666,27319.11772,324,7605,24215.65081,277
6488,16058.77373,205,6423,16092.01368,203
6371,11830.83145,125,6617,13390.80971,174
6419,15465.59717,182,6347,13540.19608,168
5775,12297.73129,159,6014,13599.77077,177
5133,14138.59185,191,5105,15727.9152,206
6645,23421.56473,316,6745,23494.89868,330
8589,24506.08162,327,8510,22843.62707,314
8030,19522.55766,251,7611,17746.84264,259
7244,15821.9589,213,7484,16588.97212,223
7216,18274.74184,237,6944,16167.73848,227
6686,17655.6127,218,6813,16082.82296,221
5534,12655.35505,172,5678,13895.05143,176
5076,10943.27947,138,5019,9013.193956,126
7313,16760.34709,225,7425,14984.8166,211
7850,17789.89332,230,7576,15084.35917,190
7944,15645.52144,206,8146,13193.07433,180
8098,15132.54491,207,8139,17231.84701,217
8891,19193.66715,246,8826,22360.27176,267
8767,17339.17351,227,8501,16906.5412,233
8729,14657.71137,187,8914,18213.95731,212
8334,14455.12321,197,8115,17146.43998,204
7779,13220.93766,157,7565,15009.57946,179
8017,13027.79925,176,7827,11884.10484,160
