Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
11938,42827,611,15365,54894,832
10436,35411,487,15227,41245,644
10927,36262,523,14350,43175,635
10516,34237,499,13661,42900,614
14826,61273,829,18667,72038,1056
17860,77129,1064,23114,90600,1411
19381,82164,1229,26521,101253,1543
18208,62992,910,24697,79177,1185
16523,48923,698,21606,64310,957
16407,54397,742,22257,70223,1060
14702,51324,727,21069,64771,993
12359,45184,607,18073,55558,852
10980,31301,439,15721,42630,663
14802,56627,747,20983,69922,1021
13960,49171,648,20064,58256,880
13696,39839,542,19830,53013,793
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
