Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
11997,542,39613,37045,13460,558,37045,37045
12418,570,39164,46457,14532,676,46457,46457
12062,560,41157,43063,13738,634,43063,43063
11159,481,36801,37881,12073,531,37881,37881
12054,505,38259,39177,13599,556,39177,39177
13511,526,36148,36115,14597,552,36115,36115
12899,540,39375,14382,14533,636,45864,12780
13327,535,35824,15112,15318,614,41800,13147
16006,704,56234,15101,15253,722,58471,15853
15525,774,64402,13484,13553,698,57134,15439
12929,649,51759,12005,12088,586,45189,12826
13669,670,55504,12372,12457,628,49697,13540
14132,647,49144,14017,13178,605,47183,13081
14169,682,49545,14039,13039,645,47258,12933
13910,718,56919,13802,13098,692,56947,12993
12680,634,48398,12545,12267,671,53275,12135
12201,668,51940,12089,12680,664,49795,12485
10829,677,54274,10760,11540,606,47997,11443
10612,555,45475,10511,11363,598,47173,11244
