Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
4409,1000,71947.28,1828,4394,1057,77791.75,1864
10405,2222,158062.79,4409,10255,2413,170188.75,4598
12312,2887,209746.46,5599,12199,2917,212981.81,5730
11452,2868,212484,5372,11222,2978,212414.85,5450
9955,2425,171727.46,4514,9931,2499,184524.47,4754
11436,3310,206042.98,5765,11501,3343,211704.38,5886
12153,3977,239481.76,6388,12091,4087,250532.98,6517
13488,4603,273040.49,7213,13400,4590,267739.21,7200
11525,3117,216424.95,5733,11227,3176,215314.32,5720
12124,3059,232211.7,5867,11890,3142,229528.61,6038
10697,2752,214100.05,5307,10447,2813,218662.92,5328
8422,1955,150464.49,3993,8496,1915,143531.32,4066
8694,1803,131874.02,3765,8504,1844,140388.07,3819
9327,1986,144273.25,4199,9048,1991,141877.28,4227
10337,1910,137100.01,4080,9964,1911,139856.22,4083
28318,6460,520657.12,11567,28072,6660,525838.11,11703
29649,7213,543959.22,12924,28845,7240,543745.24,12943
34682,8069,611574.19,14553,33889,8120,608179.98,14811
25599,5350,396712.93,10354,24956,5468,401062.31,10526
22080,4494,338163.08,8912,21622,4576,338688.8,9105
20134,4285,332960.93,8462,19749,4336,317038.69,8509
20255,4267,317466.96,8411,20203,4318,308067.7,8516
15490,3571,270181.45,6610,14893,3482,258115.01,6654
15702,3209,235958.1,6470,15570,3218,237806.65,6594
20046,4269,318232.6,8384,20061,4482,343235.55,8754
19235,3796,284805.39,7713,19045,3940,298650.27,7846
18488,3616,274488.14,7244,17621,3442,260083.88,7048
22361,4607,342738.97,10600,22173,4768,344574.38,10874
28138,6069,452689.1,14429,27327,6161,443300.06,14307
25207,5903,437549.4,11847,24534,6066,461098.85,11731
23162,5437,472773.39,10262,22379,5489,470083.05,10287
19087,3939,312167.71,7901,18709,4201,326639.4,8308
15087,2893,225719.87,5960,15083,2988,226230.99,6150
14999,2752,209449.17,5780,14525,2826,211700.43,5926
15234,2958,218878.69,6146,15018,3064,221483.08,6510
