review_text,rating,isrecommended
The colour was cute on my gf and the fit good she liked the material.,5,TRUE
"Der Sport-BH sitzt wirklich super, gibt eine tolle Form auch bei größerer Oberweite, würde ihn absolut weiterempfehlen.",5,TRUE
"Sizing can be a bit off, I’m generally xs in gymshark and most other brands this time your xs is almost too small. I also received crop pants instead of 7/8 which I was dissatisfied with especially since I have to pay to return. Otherwise I love some of the products the quality and performance is definitely there in some items.",3,FALSE
I love this product!!! I needed a new dance bag for my company and this bag works perfectly. It’s spacious and has multiple pockets. Overall very good quality product. My only small complaint would be the color is a little darker then in the picture but it didn’t bother me.,5,TRUE
These are great! Will be buying another pair as soon as I can,5,TRUE
"love the fit and how it feels while working out, and the training shorts are so comfy and light",5,TRUE
The top lid broke on the day I purchased it very disappointing,1,FALSE
Sizes are not consistent. Small size fits like large,1,FALSE
"Well, it's a little bit pricey for gma, but granddaughter turned 18 loves them! So all is good. Thank you for the timely shipping, right on time!",5,TRUE
Great quality. A bit too tight along the waist but overall nice fit.,5,TRUE
Love the quality and design. The material is soft and silky,4,TRUE
They make your body looks soo pretty abd thr texture is so soft ! I love them,5,TRUE
"Simply a good looking gym bag with nice materials, and a durable over the shoulder strap. Buy one.",5,TRUE
"So comfy! A little more stretch over the thighs would be great as they are a struggle to pull all the way up, but the comfiest, and also squat proof leggings ever!",5,TRUE
"Such a nice colour and fit, only thing I have noticed is after 2 wears the inner leg seam has started to bobble",4,TRUE
I am so happy you guys are starting to carry/make larger sizes. I am an avid runner and lifter and I have never been able to enjoy your clothes as they were just too small for my bust and curves. The XXL bottoms fit my size 12-14 waist and thick thighs perfectly! Shipping was fast too! Thanks again Gymshark,5,TRUE
Lovely bright shorts that are not too short. Ordered size small which was a bit tight so I think medium is better,5,TRUE
"My FAVORITE leggings from gymshark, they’re so comfortable as well as slightly compressive!",5,TRUE
The color was inaccurate - much lighter than what was pictured. The fit was also less than flattering. I don't have a protruding stomach but this set gave me an inner tube tire look.,1,FALSE
"The product was fantastic. I like them very much. Only down side was to horrible plastic bag package. It was horrible, smelly and very cheap. Also not so good for the environment. I liked the product but for the price that I paid (over 150€), I was expecting a bit more from the package.",4,TRUE
Love the material and the color of these leggings! The waist is very tapered and supportive. I may have needed to go up a size because of that (and because I have no waist lol) but I will still wear them,4,TRUE
"Accurate sizing, great quality material and a comfortable fit for the gym, swimming or anything else you can think of. Worth the money.",5,TRUE
Love soft however I have small wAist and bigger thighs so sags little in crotch. Reference 148lb size 8,5,TRUE
Speedy delivery and amazing quality leggings! Nothing but positive feedback for this company :),5,TRUE
They are super compressed but they you feel in place !,5,TRUE
Shorts are very comfortable and able to with stand deadlifts and squats that some other shorts can’t.,5,TRUE
Fits true to size! Amazing colors! Fast free delivery!,5,TRUE
Wanted to love but definitely not for short curvy people. The waistband came up almost 4 inches past my belly button so it squeezed uncomfortably when I was working out and looked pretty silly when I wasn't. Super soft and technically cute tho for taller folks or those with long torsos.,2,FALSE
The fit is great but the length is just long enough (will not put them in a dryer) my son is 6’2”,4,TRUE
"Soft, Amazing quality.  Color is perfect.  Lovely with shorts",5,TRUE
"Suchgoodquality,my second  purchase of  the same  item",5,TRUE
Fit so nicely and so figure hugging. Wouldn’t wear any other leggings,5,TRUE
"Sitzt super, macht eine tolle Figur!!!  Sehr schöne Farben!!!",5,TRUE
NOT THE COMFIEST MATERIAL AND EASILY SNAGS AND GETS DAMAGED,2,FALSE
Never got my leggings in the mail. I tried to email them but never heard anything back,1,FALSE
"Second vest top from this range - fit feels slightly smaller than the first but still very comfortable. I'm just really disappointed with the colour, which is much duller than I anticipated.",3,FALSE
"Super cute, as is everything about this brand! I love the comfort and the fit. The quality is great. I love it!",5,TRUE
"Squat proof, sweat proof and comfy! Different material to other leggings and super stretchy",5,TRUE
"super quick delivery even though i didn’t pay for next day, the best quality leggings, especially for the price.",5,TRUE
an amazing set for spring and summer! the ‘yellow marl’ comes out a bright green which is exactly the colour i wanted! shorts are super high waisted and all pieces are great quality.,5,TRUE
This product works good! It’s really hard because of stiffness but I’m sure it will adjust.,5,TRUE
They fit great and look amazing on! I ordered other colors after trying them on.,5,TRUE
Vital seamless 1/2 zip up is absolutely perfect! The color is breathtaking and the material and fit is so comfortable.,5,TRUE
"Great leggings! They are so smooth and comfortable and don’t fall down, love the colour and they look great and are overall great leggings. Highly recommend!",5,TRUE
I own a lot of Gymshark and these are the comfiest shorts. They are stretchy and squat proof which makes them perfect.,5,TRUE
"True to size, very flattering! Really good quality",5,TRUE
Product came damaged. Both ankles are ripped apart.,1,FALSE
Love the product the material is nice and easy to workout in. I know so many people who have this brand it’s very popular.,5,TRUE
rutscht und sitzen leider nicht so gut. Kann ich nicht empfehlen,2,FALSE
Don’t stay up. They fit perfectly however they fell down in the crotch area during hi intensity workouts and even walking,2,FALSE
"preferred size was out of stock.
very comfortable and stretchy. 
looks great with everything.",4,TRUE
"I like the tights, nice colour, feel good but the quality not so good. I tried the tights today at gym and already a whole inside legs 

I hope I get refund",3,FALSE
"Quality feels low with the price point.
Fit was good.",3,FALSE
Stretchy and comfortable. really flattering but insanely see through. i was super excited to try this out because i love this colour. I even sized up hoping it would help with being see through but it didn’t at all,2,FALSE
These are gorgeous I love the colour the fit is amazing would of loved to get them in every colour and style,5,TRUE
